Date,Price,Open,High,Low,Vol.,Change %
2019-12-12,16.55,17.86,18.02,16.2,-,-4.9
2019-12-13,15.09,16.55,16.95,14.98,-,-8.8
2019-12-16,14.02,14.34,14.34,13.58,-,-7.0
2019-12-17,14.42,14.02,14.51,13.74,-,2.8
2019-12-18,14.75,14.32,14.84,14.13,-,2.2
2019-12-19,14.42,14.75,14.89,14.33,-,-2.2
2019-12-20,14.47,14.26,14.78,14.02,-,0.3
2019-12-23,15.16,14.47,15.18,14.47,-,4.7
2019-12-24,15.14,15.16,15.5,14.89,-,-0.1
2019-12-26,15.07,15.14,15.58,14.91,-,-0.4
2019-12-27,16.36,15.07,16.88,15.07,-,8.5
2019-12-30,17.9,16.37,18.51,16.37,-,9.4
2019-12-31,16.89,17.91,18.51,16.78,-,-5.6
2020-01-02,16.0,16.9,17.07,15.77,-,-5.2
2020-01-03,16.95,17.47,17.55,16.21,-,5.9
2020-01-06,17.19,16.95,18.38,16.93,-,1.4
2020-01-07,17.15,17.25,17.88,16.86,-,-0.2
2020-01-08,16.93,17.15,17.47,16.11,-,-1.2
2020-01-09,16.04,16.21,16.94,16.03,-,-5.2
2020-01-10,16.48,16.04,16.6,15.86,-,2.7
2020-01-13,15.57,16.47,17.26,15.26,-,-5.5
2020-01-14,15.83,15.82,16.65,15.03,-,1.6
2020-01-15,15.54,15.83,16.17,15.54,-,-1.8
2020-01-16,14.95,15.54,15.54,14.71,-,-3.8
2020-01-17,14.97,14.84,15.43,14.7,-,0.1
2020-01-21,16.22,14.97,17.0,14.97,-,8.3
2020-01-22,16.49,16.23,16.61,15.5,-,1.6
2020-01-23,16.23,16.88,17.56,16.11,-,-1.5
2020-01-24,18.07,16.23,19.21,15.97,-,11.3
2020-01-27,21.46,21.43,21.87,20.37,-,18.7
2020-01-28,19.61,21.46,21.46,18.89,-,-8.6
2020-01-29,19.57,19.62,20.52,18.63,-,-0.2
2020-01-30,17.75,19.4,21.5,17.51,-,-9.3
2020-01-31,21.33,19.54,22.44,19.54,-,20.1
2020-02-03,20.4,21.33,21.33,19.72,-,-4.3
2020-02-04,18.45,20.35,20.35,18.03,-,-9.5
2020-02-05,18.52,18.5,19.21,17.85,-,0.3
2020-02-06,18.41,18.84,19.03,18.25,-,-0.5
2020-02-07,19.42,18.41,19.95,18.41,-,5.4
2020-02-10,19.31,20.41,20.42,19.19,-,-0.5
2020-02-11,19.66,19.31,19.84,18.68,-,1.8
2020-02-12,18.04,19.67,19.67,17.97,-,-8.2
2020-02-13,18.46,18.03,19.49,17.97,-,2.3
